"","ND251_34","ND251_LMPP","ND251_MPP"
"FOXP3",0.53968253968254,0.412698412698413,0.645502645502645
"GATA1",0.142857142857143,0.185185185185185,0.619047619047619
"GATA2",0.560846560846561,0.767195767195767,0.560846560846561
"GATA3",0.645502645502645,0.153439153439153,0.0158730158730159
"GATA4",0.619047619047619,0.264550264550265,0.0899470899470899
"GLI2",0.222222222222222,0.35978835978836,0.0952380952380952
"GLIS1",0.37037037037037,0.873015873015873,0.814814814814815
"GMEB1",0.444444444444444,0.761904761904762,0.650793650793651
"GMEB2",0.306878306878307,0.55026455026455,0.571428571428571
"GRHL2",0.592592592592593,0.0423280423280423,0.232804232804233
"GTF2B",0.994708994708995,0.804232804232804,0.994708994708995
"GTF2I",0.846560846560847,0.851851851851852,0.608465608465608
"HEY1",0.243386243386243,0.513227513227513,0.783068783068783
"HIF1A",0.947089947089947,0.682539682539683,0.746031746031746
"HINFP",0.91005291005291,0.608465608465608,0.693121693121693
"HNF1B",0.455026455026455,0.80952380952381,0.793650793650794
"HNF4A",0.391534391534392,0.470899470899471,0.915343915343915
"HNF4G",0.0529100529100529,0.502645502645503,0.417989417989418
"HOXA1",0.920634920634921,0.645502645502645,0.873015873015873
"HOXA4",0.968253968253968,0.957671957671958,0.962962962962963
"HOXA6",0.603174603174603,0.830687830687831,0.91005291005291
"HOXB13",0.349206349206349,0.814814814814815,0.925925925925926
"HSF1",0.153439153439153,0.37037037037037,0.00529100529100529
"HSF2",0.936507936507937,0.333333333333333,0.878306878306878
"IRF2",0.835978835978836,0.984126984126984,0.476190476190476
"IRF4",0.275132275132275,0.825396825396825,0.365079365079365
"JUN",0.82010582010582,0.619047619047619,0.931216931216931
"JUNB",0.529100529100529,0.148148148148148,0.904761904761905
"JUND",1,0.994708994708995,1
"KLF1",0.264550264550265,0.650793650793651,0.0105820105820106
"KLF10",0.121693121693122,0.396825396825397,0.825396825396825
"KLF3",0.941798941798942,0.989417989417989,0.857142857142857
"KLF4",0.952380952380952,0.968253968253968,0.433862433862434
"KLF9",0.798941798941799,0.243386243386243,0.851851851851852
"KMT2A",0.206349206349206,0.571428571428571,0.105820105820106
"MAF",0.698412698412698,0.301587301587302,0.687830687830688
"MAFF",0.486772486772487,0.211640211640212,0.126984126984127
"MAFK",0.740740740740741,0.0687830687830688,0.407407407407407
"MAX",0.46031746031746,0.132275132275132,0.275132275132275
"MECOM",0.888888888888889,0.439153439153439,0.386243386243386
"MEF2A",0.507936507936508,0.677248677248677,0.26984126984127
"MEF2C",0.767195767195767,0.978835978835979,0.703703703703704
"MEIS1",0.174603174603175,0.407407407407407,0.0793650793650794
"MITF",0.333333333333333,0.206349206349206,0.470899470899471
"MNT",0.164021164021164,0.544973544973545,0.296296296296296
"MXI1",0.544973544973545,0.576719576719577,0.0582010582010582
"MYB",0.148148148148148,0.0105820105820106,0.243386243386243
"MYBL2",0.0952380952380952,0.444444444444444,0.0211640211640212
"MYC",0.407407407407407,0.883597883597884,0.185185185185185
"MYOD1",0.19047619047619,0.375661375661376,0.0264550264550265
"NANOG",0.777777777777778,0.751322751322751,0.195767195767196
"NFAT5",0.169312169312169,0.238095238095238,0.0317460317460317
"NFATC1",0.44973544973545,0.666666666666667,0.804232804232804
"NFE2",0.375661375661376,0.17989417989418,0.116402116402116
"NFIC",0.502645502645503,0.28042328042328,0.375661375661376
"NFYA",0.582010582010582,0.0793650793650794,0.169312169312169
"NFYB",0.497354497354497,0.386243386243386,0.132275132275132
"NKX2-1",0.126984126984127,0.100529100529101,0.328042328042328
"NR2C2",0.677248677248677,0.195767195767196,0.291005291005291
"NR2F2",0.973544973544973,0.841269841269841,0.465608465608466
"NRF1",0.195767195767196,0.19047619047619,0.142857142857143
