"","ND251_34","ND251_MPP"
"ETV5",0.571428571428571,0.312169312169312
"ETV6",0.931216931216931,0.925925925925926
"ETV7",0.682539682539683,0.767195767195767
"FOS",0.941798941798942,0.587301587301587
"FOSL1",0.439153439153439,0.126984126984127
"FOSL2",0.037037037037037,0.0264550264550265
"FOXA1",0.925925925925926,0.830687830687831
"FOXA2",0.00529100529100529,0.00529100529100529
"FOXD2",0.724867724867725,0.439153439153439
"FOXG1",0.544973544973545,0.396825396825397
"FOXH1",0.920634920634921,0.513227513227513
"FOXM1",0.73015873015873,0.862433862433862
"FOXO3",0.116402116402116,0.201058201058201
"FOXP1",0.957671957671958,0.841269841269841
"FOXP2",0.349206349206349,0.243386243386243
"FOXP3",0.671957671957672,0.502645502645503
"GATA1",0.555555555555556,0.105820105820106
"GATA2",0.830687830687831,0.708994708994709
"GATA3",0.111111111111111,0.53968253968254
"GATA4",0.164021164021164,0.497354497354497
"GLI2",0.523809523809524,0.444444444444444
"GLIS1",0.317460317460317,0.195767195767196
"GMEB1",0.798941798941799,0.804232804232804
"GMEB2",0.0740740740740741,0.264550264550265
"GRHL2",0.253968253968254,0.153439153439153
"GTF2B",0.994708994708995,0.994708994708995
"GTF2I",0.687830687830688,0.428571428571429
"HEY1",0.46031746031746,0.0476190476190476
"HIF1A",0.656084656084656,0.931216931216931
"HINFP",0.497354497354497,0.592592592592593
"HNF1B",0.761904761904762,0.698412698412698
"HNF4A",0.216931216931217,0.0687830687830688
"HNF4G",0.407407407407407,0.671957671957672
"HOXA1",0.793650793650794,0.560846560846561
"HOXA4",0.947089947089947,0.788359788359788
"HOXA6",0.613756613756614,0.814814814814815
"HOXB13",0.751322751322751,0.91005291005291
"HSF1",0.121693121693122,0.158730158730159
"HSF2",0.746031746031746,0.894179894179894
"IRF2",0.470899470899471,0.857142857142857
"IRF4",0.137566137566138,0.35978835978836
"JUN",0.62962962962963,0.962962962962963
"JUNB",0.259259259259259,0.349206349206349
"JUND",1,1
"KLF1",0.0105820105820106,0.0158730158730159
"KLF10",0.35978835978836,0.518518518518518
"KLF3",0.862433862433862,0.978835978835979
"KLF4",0.80952380952381,0.957671957671958
"KLF9",0.380952380952381,0.619047619047619
"KMT2A",0.158730158730159,0.624338624338624
"MAF",0.64021164021164,0.365079365079365
"MAFF",0.211640211640212,0.137566137566138
"MAFK",0.53968253968254,0.878306878306878
"MAX",0.888888888888889,0.169312169312169
"MECOM",0.529100529100529,0.746031746031746
"MEF2A",0.306878306878307,0.222222222222222
"MEF2C",0.962962962962963,0.666666666666667
"MEIS1",0.365079365079365,0.227513227513228
"MITF",0.285714285714286,0.0529100529100529
"MNT",0.232804232804233,0.402116402116402
"MXI1",0.507936507936508,0.386243386243386
"MYB",0.873015873015873,0.301587301587302
"MYBL2",0.0793650793650794,0.259259259259259
"MYC",0.455026455026455,0.291005291005291
"MYOD1",0.201058201058201,0.0740740740740741
"NANOG",0.772486772486772,0.603174603174603
"NFAT5",0.206349206349206,0.164021164021164
"NFATC1",0.444444444444444,0.656084656084656
"NFE2",0.238095238095238,0.391534391534392
"NFIC",0.518518518518518,0.19047619047619
"NFYA",0.37037037037037,0.529100529100529
"NFYB",0.698412698412698,0.835978835978836
"NKX2-1",0.0264550264550265,0.100529100529101
"NR2C2",0.624338624338624,0.37037037037037
"NR2F2",0.978835978835979,0.523809523809524
"NRF1",0.576719576719577,0.682539682539683
"ONECUT1",0.28042328042328,0.322751322751323
"OTX2",0.867724867724868,0.904761904761905
"PAX5",0.0582010582010582,0.338624338624339
"PBX1",0.0423280423280423,0.142857142857143
"PBX3",0.126984126984127,0.947089947089947
"PGR",0.582010582010582,0.851851851851852
"POU2F1",0.322751322751323,0.433862433862434
"POU2F2",0.396825396825397,0.375661375661376
"PPARG",0.513227513227513,0.492063492063492
"PRDM1",0.55026455026455,0.486772486772487
"PRDM14",0.814814814814815,0.687830687830688
"RARG",0.222222222222222,0.232804232804233
"RBPJ",0.597883597883598,0.825396825396825
"RELA",0.904761904761905,0.973544973544973
"REST",0.645502645502645,0.703703703703704
"RFX2",0.132275132275132,0.0634920634920635
"RFX5",0.296296296296296,0.71957671957672
"RUNX1",0.402116402116402,0.0952380952380952
"RUNX2",0.0529100529100529,0.0423280423280423
"RUNX3",0.894179894179894,0.756613756613757
"RXRA",0.338624338624339,0.507936507936508
"RXRG",0.735449735449735,0.73015873015873
"SETDB1",0.82010582010582,0.566137566137566
"SIX5",0.423280423280423,0.798941798941799
"SMAD3",0.375661375661376,0.328042328042328
"SOX17",0.248677248677249,0.216931216931217
"SP1",0.883597883597884,0.772486772486772
"SP4",0.386243386243386,0.26984126984127
"SPI1",0.0899470899470899,0.28042328042328
"SPIB",0.412698412698413,0.608465608465608
"SRF",0.587301587301587,0.534391534391534
"STAT1",0.846560846560847,0.735449735449735
"STAT2",0.566137566137566,0.783068783068783
"STAT3",0.899470899470899,0.777777777777778
"STAT4",0.227513227513228,0.417989417989418
"STAT5A",0.878306878306878,0.645502645502645
"STAT5B",0.608465608465608,0.238095238095238
"TBP",0.264550264550265,0.751322751322751
"TCF12",0.492063492063492,0.343915343915344
"TCF21",0.481481481481481,0.248677248677249
"TCF3",0.989417989417989,0.989417989417989
"TCF4",0.312169312169312,0.936507936507937
"TCF7L2",0.936507936507937,0.634920634920635
"TEAD4",0.788359788359788,0.465608465608466
"TFAP2A",0.634920634920635,0.380952380952381
"TFAP2C",0.0211640211640212,0.354497354497354
"TFAP4",0.26984126984127,0.724867724867725
"TFDP1",0.0476190476190476,0.185185185185185
"THAP1",0.243386243386243,0.470899470899471
"TP63",0.534391534391534,0.476190476190476
"TP73",0.195767195767196,0.121693121693122
"USF1",0.105820105820106,0.0793650793650794
"USF2",0.666666666666667,0.661375661375661
"VDR",0.44973544973545,0.677248677248677
"VEZF1",0.0952380952380952,0.174603174603175
"XBP1",0.777777777777778,0.867724867724868
"YY1",0.973544973544973,0.423280423280423
"ZBTB33",0.693121693121693,0.761904761904762
"ZBTB7A",0.560846560846561,0.846560846560847
"ZBTB7B",0.841269841269841,0.883597883597884
"ZEB1",0.740740740740741,0.920634920634921
"ZFP42",0.825396825396825,0.899470899470899
"ZFX",0.851851851851852,0.941798941798942
"ZKSCAN1",0.153439153439153,0.206349206349206
"ZNF143",0.185185185185185,0.116402116402116
"ZNF263",0.592592592592593,0.0846560846560847
"ZNF384",0.354497354497354,0.915343915343915
"ZNF76",0.0846560846560847,0.037037037037037
