"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"GMEB2",117,132,94,156
"GRHL2",121,84,10,41
"GTF2B",192,187,190,193
"GTF2I",79,17,42,40
"HEY1",42,170,28,127
"HIF1A",96,125,118,88
"HINFP",165,138,160,34
"HNF1B",120,139,130,39
"HNF4A",100,16,113,138
"HNF4G",35,66,83,124
"HOXA1",176,56,9,163
"HOXA4",190,184,158,192
"HOXA6",168,178,146,187
"HOXB13",98,120,167,135
"HOXC6",175,65,173,176
"HSF1",18,20,23,33
"HSF2",185,161,178,136
"IRF1",178,168,144,23
"IRF2",139,78,123,84
"IRF3",163,136,50,87
"IRF4",62,105,1,83
"JUN",169,162,102,189
"JUNB",85,10,169,48
"JUND",194,193,187,194
"KLF1",56,131,36,73
"KLF10",9,143,166,150
"KLF3",188,194,184,185
"KLF4",101,134,138,159
"KLF9",92,167,22,47
"KMT2A",40,123,66,56
"LHX2",129,74,55,110
"MAF",74,147,48,102
"MAFF",7,92,6,5
"MAFK",108,98,4,146
"MECOM",173,31,79,111
"MEF2A",43,44,44,70
"MEF2C",130,94,105,169
"MEIS1",66,126,18,32
"MITF",46,18,40,46
"MNT",86,64,49,22
"MXI1",21,95,15,79
"MYB",148,114,90,12
"MYBL2",50,24,47,36
"MYC",153,50,132,120
"MYOD1",28,2,96,7
"NANOG",123,130,161,113
"NFAT5",53,133,27,55
"NFATC1",131,81,97,43
"NFE2",22,21,24,145
"NFIC",23,173,159,20
"NFYA",180,124,70,78
"NFYB",155,58,80,133
"NKX2-1",60,122,29,62
"NR2C2",105,87,86,93
"NR2F2",151,47,157,183
"NRF1",17,40,149,21
"ONECUT1",29,25,20,11
"OTX2",157,146,129,68
"PAX5",122,164,45,24
"PBX1",27,115,164,8
"PBX3",99,144,140,75
"PGR",136,142,145,141
"POU2F1",71,82,162,97
"POU2F2",32,88,115,27
"PPARG",109,55,163,122
"PRDM1",102,107,134,66
"PRDM14",146,36,152,152
"RARG",91,30,111,165
"RBPJ",138,160,186,108
"RELA",149,192,77,153
"REST",156,73,182,149
"RFX2",24,59,16,6
"RFX5",161,175,119,179
"RUNX1",30,93,60,95
"RUNX2",25,35,124,38
"RUNX3",59,79,107,142
"RXRA",144,179,150,130
"RXRG",172,62,126,172
"SETDB1",51,61,53,155
"SIX5",179,158,87,174
"SMAD3",126,19,165,112
"SOX17",31,100,122,91
"SP1",83,177,171,114
"SP4",70,128,121,72
"SPI1",54,80,82,162
"SPIB",116,153,81,52
"SREBF1",152,28,191,65
"SRF",39,4,11,61
"STAT1",170,119,128,139
"STAT2",132,182,170,126
"STAT3",134,172,192,131
"STAT4",41,49,58,9
"STAT5A",154,159,127,170
"STAT5B",68,42,8,168
"TBP",141,67,41,67
"TCF12",142,85,57,188
"TCF21",77,176,52,81
"TCF3",191,86,137,191
"TCF4",177,127,56,177
"TCF7L2",147,99,74,82
"TEAD4",145,60,176,123
"TFAP2A",13,121,93,86
"TFAP2C",20,6,136,53
"TFAP4",55,152,147,51
"TFDP1",10,15,13,63
"THAP1",115,72,38,28
"TP63",127,169,116,157
"TP73",106,145,117,143
"USF1",140,137,25,100
"USF2",48,190,85,151
"VDR",45,112,139,107
"VEZF1",4,52,78,18
"XBP1",174,180,135,96
"YY1",95,135,114,115
"ZBTB33",166,106,174,60
"ZBTB7A",150,157,109,175
"ZBTB7B",89,116,30,80
"ZEB1",162,189,155,128
"ZFP42",143,33,131,186
"ZFX",184,68,141,182
"ZKSCAN1",15,14,32,76
"ZNF143",65,102,104,45
"ZNF263",183,109,46,94
"ZNF384",182,163,61,180
"ZNF76",16,11,54,64
